optimize_name,data_name,qubit,input_gates,p_t,seed,gates_aft,one-qubit_gates,two-qubit_gates,edge count,spider count,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,125,130,135,140,145,150,155,160,165,170,175,180,185,190,195,200,205
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1000,4,10000,0,1000,26,18,8,20,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1001,4,10000,0,1001,30,19,11,24,16,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1002,4,10000,0,1002,25,16,9,21,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1003,4,10000,0,1003,23,15,8,19,15,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1004,4,10000,0,1004,21,14,7,20,15,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1005,4,10000,0,1005,23,14,9,23,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1006,4,10000,0,1006,29,17,12,24,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1007,4,10000,0,1007,29,17,12,24,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1008,4,10000,0,1008,25,16,9,21,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1009,4,10000,0,1009,29,20,9,21,16,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1010,4,10000,0,1010,28,17,11,24,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1011,4,10000,0,1011,23,14,9,21,16,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1012,4,10000,0,1012,26,15,11,23,16,11,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clifford_simp_not_post_basic,q4_gates10000_pt0_seeds1013,4,10000,0,1013,28,15,13,25,16,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
